id;user_id;create_date;type;item_id;replay_id;valid;star_type
1;1786;2020-05-31T04:40:52;43413;green interface customer loyalty;Infrastructure;true;76961
2;32427;2020-05-30T21:42:30;67955;Sleek Wooden Chair hack Drive;input compress;true;10594
3;39437;2020-05-31T01:40:46;47334;national;Sleek Fresh Computer withdrawal best-of-breed;false;29004
4;7768;2020-05-30T14:27:01;26070;Mills;Bike;true;18468
5;45516;2020-05-30T17:04:08;32307;Coordinator Markets;Connecticut software copying;true;95166
6;84410;2020-05-31T04:27:10;39900;Wallis and Futuna;mobile Plastic Decentralized;true;96753
7;25569;2020-05-30T14:15:03;60542;lime;Hat encompassing;false;68785
8;15428;2020-05-31T06:03:47;18040;Oval cross-platform Granite;Unbranded streamline;false;42749
9;6189;2020-05-31T00:44:23;58510;solid state frictionless;time-frame Pizza PCI;false;94750
10;1424;2020-05-30T08:44:32;95565;backing up matrix;IB Towels;true;15278
