id;title;type;digist;content;create_user;last_update_date;update_user;create_date;tags;content_type
1;back up;Profit-focused;digital Consultant;Concrete deposit;Fish target;2020-05-30T22:09:03;Implementation Cambridgeshire;2020-05-31T01:13:09;impactful;VIDEO
2;Borders Incredible;Fantastic;generating;Bedfordshire Ramp bus;Administrator;2020-05-30T14:05:25;Regional Director Guarani;2020-05-30T16:06:04;Gorgeous Fresh Bike;OTHER
3;Refined;Team-oriented;connecting;Unbranded Soft Bike systems;Interactions syndicate exuding;2020-05-30T20:59:20;Senior Games;2020-05-30T19:34:44;Handmade synthesize Focused;IMAGE
4;Music Down-sized;COM COM Sausages;hard drive;upward-trending;circuit Fresh Credit Card Account;2020-05-30T23:28:35;copying back up Checking Account;2020-05-30T13:58:28;networks Investment Account;ARTICAL
5;Shoes Agent Kids;Keyboard extranet;incentivize Optional Tasty Rubber Chair;Bedfordshire Grass-roots Handmade;Diverse Right-sized;2020-05-30T15:03:24;Granite deposit;2020-05-30T13:04:23;Reactive synthesizing;OTHER
6;Associate e-tailers quantifying;Borders deposit deposit;Unbranded Granite Gloves;back up Credit Card Account;parsing;2020-05-30T09:37:17;Fish program tan;2020-05-30T13:09:06;synthesize Total Cotton;ARTICAL
7;reinvent Plastic Corporate;Investment Account Health calculate;transmit;copy overriding Up-sized;Computer PCI Fresh;2020-05-31T04:53:22;next-generation reboot;2020-05-30T18:26:49;Corporate;OTHER
8;Cameroon;withdrawal;Stand-alone;withdrawal bandwidth;generate facilitate transmitting;2020-05-31T06:01:03;bandwidth;2020-05-30T11:34:42;Car red;ACTIVITY
9;budgetary management generate Concrete;Fantastic Soft Soap Toys Virtual;Fresh withdrawal SCSI;online;software lime;2020-05-30T19:04:45;Refined Wooden Chair array;2020-05-30T09:25:57;Baby Planner;ACTIVITY
10;Sudan Rustic Soft Chicken Awesome;emulation Officer;framework Gardens Outdoors;service-desk discrete monitor;Drive Bike Gorgeous Fresh Sausages;2020-05-30T16:09:56;AI system;2020-05-30T22:12:15;Wooden;COVER
