id;click_count;start_date;end_date;source;termimal;reply_count;star_count
1;89837;2020-05-30;2020-05-31;LIST;3rd generation transmit;66736;62957
2;81130;2020-05-30;2020-05-30;SEARCH;CSS transmitting;79435;75350
3;16173;2020-05-30;2020-05-31;LIST;Mobility;66203;69084
4;89260;2020-05-30;2020-05-31;LIST;Metal optical;69956;26020
5;81171;2020-05-30;2020-05-31;SEARCH;grey;99190;45435
6;62184;2020-05-30;2020-05-30;PUSH;deposit;71130;17729
7;8741;2020-05-30;2020-05-31;SEARCH;French Southern Territories Architect;55773;32987
8;58881;2020-05-30;2020-05-31;PUSH;invoice;32119;82858
9;7636;2020-05-31;2020-05-31;PUSH;Branding Beauty Granite;62086;24012
10;38550;2020-05-30;2020-05-30;LIST;Intuitive;24288;24518
