id;name;pct;valid;create_date;level
1;EXE;fuchsia Macao;true;2020-05-30T11:07:30;42522
2;Wooden calculate Customer;Intelligent;false;2020-05-30T23:45:45;11473
3;protocol tangible Division;Handcrafted Factors;false;2020-05-31T05:20:34;24984
4;Cambridgeshire directional;orchestrate;true;2020-05-30T11:04:36;18377
5;Granite;empower;true;2020-05-31T06:21:36;53649
6;Toys European Monetary Unit (E.M.U.-6);disintermediate copying;true;2020-05-30T21:44:40;47302
7;XML Directives Rubber;internet solution RAM Intelligent Cotton Cheese;true;2020-05-30T08:38:45;14292
8;content-based interactive Bedfordshire;Multi-layered;false;2020-05-30T12:09:23;82758
9;Streets implementation;Chilean Peso Unidades de fomento deposit;true;2020-05-30T15:43:09;18904
10;innovate tertiary Home Loan Account;navigating whiteboard;false;2020-05-31T03:03:38;16474
