id;title;content;audit_status;create_data;audit_date;create_user;audit_user;reply_user_id;reply_user_nick_name;del_flag
1;Industrial systematic;Regional workforce;true;2020-05-30T18:07:11;2020-05-30T11:04:22;orchestration;88445;55909;Berkshire Implementation;false
2;Beauty;Cambridgeshire Delaware synthesizing;false;2020-05-30T11:03:05;2020-05-31T03:14:33;granular optical;68238;13933;synthesize;false
3;Small transmit incentivize;Music;true;2020-05-31T02:41:41;2020-05-30T22:58:58;synthesizing Books Western Sahara;43545;59194;Dynamic Plastic;false
4;B2C reintermediate AGP;Bermuda Turkey SSL;true;2020-05-30T20:38:48;2020-05-30T22:32:19;Fresh auxiliary tan;38570;759;Granite digital;false
5;index instruction set;New Mexico knowledge base;true;2020-05-30T10:01:44;2020-05-30T20:02:53;SAS Investment Account Computer;32476;49173;bypassing Gold Gorgeous Cotton Cheese;true
6;Stravenue Customer Causeway;Borders Plastic;true;2020-05-31T05:31:09;2020-05-30T17:19:41;Industrial supply-chains Keyboard;89361;91644;indexing Architect;true
7;open-source;productivity;true;2020-05-30T22:58:11;2020-05-30T11:38:43;Digitized platforms;89364;65553;SMTP Adaptive parse;true
8;cutting-edge;SSL;false;2020-05-30T19:34:58;2020-05-31T00:04:50;Lead Brazilian Real Planner;47415;74893;calculate Incredible;false
9;lime dynamic;Zambia SMTP systemic;false;2020-05-31T06:40:52;2020-05-30T11:28:24;Business-focused;77140;97897;program Cape Verde Small Soft Mouse;true
10;Avon Soap target;navigating Mouse;true;2020-05-30T15:59:27;2020-05-31T08:16:54;Branding RSS Solutions;37182;33129;Savings Account transform;false
