id;click_count;start_date;end_date;source;termimal;reply_count;star_count
1;74445;2020-05-30;2020-05-30;LIST;Handcrafted Concrete Shirt;73415;51182
2;34780;2020-05-31;2020-05-30;LIST;facilitate Checking Account 1080p;43379;78812
3;73499;2020-05-31;2020-05-30;SEARCH;Exclusive program user-centric;13492;26222
4;54741;2020-05-31;2020-05-31;PUSH;Health Strategist connecting;78938;77858
5;79816;2020-05-30;2020-05-30;SEARCH;Enterprise-wide schemas;48651;27706
6;22834;2020-05-30;2020-05-30;SEARCH;Australian Dollar;30176;77768
7;59879;2020-05-31;2020-05-30;SEARCH;generate Salad Program;77676;65439
8;33922;2020-05-30;2020-05-30;LIST;Tuna Forest Personal Loan Account;7433;68899
9;15611;2020-05-31;2020-05-30;SEARCH;azure Gorgeous Rubber Shirt;89255;36676
10;20991;2020-05-30;2020-05-31;SEARCH;lime;63733;13882
