id;type;platform;resource_id;transcode_status;upload_status;update_date;audit_status;audit_date;audit_info;file_size;content_size;source;url;url_expire;params;audit_user;del_flag
1;AUDIO;invoice;silver Home;false;true;2020-05-30T13:03:39;false;2020-05-31T03:54:38;Saint Lucia;32287;6391;override Principal zero defect;https://ignacio.name;62505;Serbian Dinar logistical Mountain;68746;true
2;AUDIO;index teal;Ecuador Towels hacking;false;true;2020-05-30T17:18:41;true;2020-05-31T02:11:45;Auto Loan Account National markets;99410;27751;Keyboard Bedfordshire content;http://valentina.name;14246;Principal Implementation;24260;false
3;SINGLE_PRODUCT;facilitate;definition Dynamic Communications;true;false;2020-05-31T02:51:10;true;2020-05-30T10:16:45;invoice;80262;74717;Shoes Security;http://krystina.info;70391;bypassing monitor application;41861;false
4;AUDIO;Bedfordshire;Baby redundant;false;true;2020-05-31T07:01:46;true;2020-05-30T16:32:07;Handmade;62577;90926;Czech Koruna bottom-line;https://mathias.biz;27582;Small Plastic Towels digital;56122;true
5;SINGLE_PRODUCT;wireless withdrawal Wooden;Enhanced circuit mint green;false;true;2020-05-30T09:35:25;true;2020-05-30T22:35:47;generating;67681;17599;Home Advanced;https://alena.net;34710;District applications;17521;true
6;AUDIO;Cotton;Pants Cuba Secured;false;true;2020-05-31T07:12:01;false;2020-05-31T02:39:40;dot-com convergence Public-key;70035;36880;withdrawal;http://marquise.com;20857;Small Forward;1934;false
7;ARTICAL;Savings Account eyeballs;Delaware;false;false;2020-05-30T17:28:07;true;2020-05-30T23:32:46;USB yellow Fantastic;24444;1716;Handmade invoice Pants;http://marjorie.net;12621;Fantastic Granite Chicken synergies Bermuda;64928;true
8;SINGLE_PRODUCT;protocol;parsing portals deposit;true;false;2020-05-30T12:27:36;true;2020-05-30T18:17:48;Ergonomic IB payment;45843;9432;Group Monitored product;https://skyla.info;58923;Rustic Rubber Bacon disintermediate;53616;false
9;ARTICAL;Denar;Tasty;false;true;2020-05-30T16:47:00;false;2020-05-30T11:18:14;invoice Soap;2180;80336;customized revolutionary Agent;https://araceli.name;34218;system-worthy;56421;true
10;ACTIVITY;Handcrafted Rubber Keyboard Avon time-frame;cultivate;true;false;2020-05-30T16:29:24;true;2020-05-30T23:29:35;upward-trending;83230;2249;Internal one-to-one eyeballs;https://edythe.com;35648;system Buckinghamshire Rufiyaa;8423;false
