id;user_id;device_no;date;source;action;goods;termimal
1;Auto Loan Account magenta;Metrics;2020-05-31;PUSH;system multi-byte Auto Loan Account;40093;Crescent cross-platform calculating
2;Chips;Legacy Future Cotton;2020-05-31;SEARCH;indigo;29940;foreground Table
3;mobile Liaison;Handcrafted Steel Bacon deposit;2020-05-31;SEARCH;grid-enabled brand;67674;Ergonomic
4;virtual withdrawal;payment;2020-05-30;SEARCH;USB Intranet;17829;Cheese digital Connecticut
5;Refined wireless Credit Card Account;port invoice deposit;2020-05-30;PUSH;Somali Shilling matrix;73029;Specialist
6;transmit;wireless redefine;2020-05-30;PUSH;content Indiana Union;3042;Rwanda real-time Handcrafted Wooden Shoes
7;Designer;Clothing application;2020-05-30;PUSH;Fort Missouri Plastic;3080;Chips silver magenta
8;Interactions moratorium;Granite;2020-05-30;LIST;Public-key Buckinghamshire maximize;21948;customized Investment Account Tasty Granite Sausages
9;Auto Loan Account;Saudi Riyal Georgia;2020-05-30;LIST;Cambridgeshire;13839;Money Market Account District asynchronous
10;killer Sudan;modular;2020-05-30;LIST;quantifying reboot Tuna;63592;Ergonomic Frozen Shirt Implementation
