id;user_id;platform;link;create_date;pct_url;valid
1;14046;payment whiteboard;Representative Personal Loan Account 24/365;2020-05-30T11:23:19;Incredible pixel;false
2;48639;payment syndicate Credit Card Account;generate;2020-05-30T12:19:29;mesh;false
3;19297;purple Internal;Motorway empower mindshare;2020-05-30T11:12:11;Supervisor Lead regional;false
4;51754;Switzerland generate heuristic;mint green Bouvet Island (Bouvetoya) Minnesota;2020-05-31T07:25:11;expedite;true
5;68268;Idaho withdrawal heuristic;Tunisia Credit Card Account Concrete;2020-05-30T20:40:07;Fresh SSL redundant;false
6;12344;next-generation Savings Account;value-added Ridge Principal;2020-05-30T10:58:36;Investor Baby;false
7;50001;yellow Salad Grass-roots;Latvia engineer Hat;2020-05-30T14:47:52;program input;true
8;77616;Malaysian Ringgit background Dobra;hack;2020-05-31T02:40:50;Glens Clothing;true
9;94286;Producer calculate;parse;2020-05-31T04:22:38;South Carolina;false
10;67556;Vermont;neural-net Park;2020-05-30T13:36:03;SDD disintermediate Integration;true
